CODE,YEAR,MONTH,VALUE
LAUCN010010000000003,1990,M01,6.4
LAUCN010010000000003,1990,M02,6.6
LAUCN010010000000003,1990,M03,5.8
LAUCN010010000000003,1990,M04,6.6
LAUCN010010000000003,1990,M05,6
LAUCN010010000000003,1990,M06,7
LAUCN010010000000003,1990,M07,6
LAUCN010010000000003,1990,M08,6.7
LAUCN010010000000003,1990,M09,7.2
LAUCN010010000000003,1990,M10,7.1
LAUCN010010000000003,1990,M11,6.2
LAUCN010010000000003,1990,M12,6.2
LAUCN010010000000003,1990,M13,6.5
LAUCN010010000000003,1991,M01,6.7
LAUCN010010000000003,1991,M02,7.8
LAUCN010010000000003,1991,M03,7.3
LAUCN010010000000003,1991,M04,6.8
LAUCN010010000000003,1991,M05,6.7
LAUCN010010000000003,1991,M06,7.8
LAUCN010010000000003,1991,M07,6.8
LAUCN010010000000003,1991,M08,7
LAUCN010010000000003,1991,M09,6.7
LAUCN010010000000003,1991,M10,6
LAUCN010010000000003,1991,M11,5.8
LAUCN010010000000003,1991,M12,6.1
LAUCN010010000000003,1991,M13,6.8
LAUCN010010000000003,1992,M01,6.9
LAUCN010010000000003,1992,M02,7
LAUCN010010000000003,1992,M03,6.4
LAUCN010010000000003,1992,M04,5.7
LAUCN010010000000003,1992,M05,6.1
LAUCN010010000000003,1992,M06,7.5
LAUCN010010000000003,1992,M07,6.7
LAUCN010010000000003,1992,M08,6.9
LAUCN010010000000003,1992,M09,6.5
LAUCN010010000000003,1992,M10,6.2
LAUCN010010000000003,1992,M11,6.6
LAUCN010010000000003,1992,M12,6
LAUCN010010000000003,1992,M13,6.5
LAUCN010010000000003,1993,M01,6.2
LAUCN010010000000003,1993,M02,6.3
LAUCN010010000000003,1993,M03,6.2
LAUCN010010000000003,1993,M04,6.3
LAUCN010010000000003,1993,M05,6.7
LAUCN010010000000003,1993,M06,7.2
LAUCN010010000000003,1993,M07,6.5
LAUCN010010000000003,1993,M08,5.7
LAUCN010010000000003,1993,M09,5.6
LAUCN010010000000003,1993,M10,5.6
LAUCN010010000000003,1993,M11,5.1
LAUCN010010000000003,1993,M12,4.7
LAUCN010010000000003,1993,M13,6
LAUCN010010000000003,1994,M01,5.1
LAUCN010010000000003,1994,M02,5.6
LAUCN010010000000003,1994,M03,5.3
LAUCN010010000000003,1994,M04,4.4
LAUCN010010000000003,1994,M05,4.1
LAUCN010010000000003,1994,M06,5.7
LAUCN010010000000003,1994,M07,5.5
LAUCN010010000000003,1994,M08,5.5
LAUCN010010000000003,1994,M09,5
LAUCN010010000000003,1994,M10,5.1
LAUCN010010000000003,1994,M11,4.8
LAUCN010010000000003,1994,M12,4.1
LAUCN010010000000003,1994,M13,5
LAUCN010010000000003,1995,M01,5.8
LAUCN010010000000003,1995,M02,6.2
LAUCN010010000000003,1995,M03,5.5
LAUCN010010000000003,1995,M04,6.1
LAUCN010010000000003,1995,M05,6.3
LAUCN010010000000003,1995,M06,6.6
LAUCN010010000000003,1995,M07,7.3
LAUCN010010000000003,1995,M08,5.8
LAUCN010010000000003,1995,M09,5.7
LAUCN010010000000003,1995,M10,5
LAUCN010010000000003,1995,M11,4.5
LAUCN010010000000003,1995,M12,4.2
LAUCN010010000000003,1995,M13,5.8
LAUCN010010000000003,1996,M01,4.4
LAUCN010010000000003,1996,M02,4.7
LAUCN010010000000003,1996,M03,4.2
LAUCN010010000000003,1996,M04,4
LAUCN010010000000003,1996,M05,3.8
LAUCN010010000000003,1996,M06,4
